"Private debt, loans and debt securities (Percent of GDP)",1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Luxembourg,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,112.7502005,114.1618243,164.7559446,133.20733,134.5600279,129.5478572,171.0601803,181.3434835,237.0125785,217.3902247,207.9786004,214.9020778,334.4517678,317.7537391,363.1535414,330.9411901,346.6972299,359.6009139,363.3367553,381.9946593,388.4434594,376.4848839,371.7989713,381.4677684,393.9389571,408.7591806,414.3887298,385.4665808,385.2983935
Malawi,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2.271967441,2.243819477,2.499749203,2.859198432,3.349092965,3.714743971,3.988362472,3.896450001,3.376796701,4.08176218,3.797522363,4.676434843,4.939077982,6.26002939,8.40677506,7.498897706,7.088832445,7.202101246,7.259119583,5.477912506,4.477914926,4.404000008,3.273028571,3.122726601,3.736864079,4.486921566,4.362924393,5.586158749,3.436415744,4.602879937,2.402114402,1.65010273,1.499451386,2.619394709,1.94443576,2.295148665,2.139645872,1.950914856,2.227989804,2.612730423,2.871235799,3.623928886,3.890770076,6.47263007,7.723565068,9.822172813,9.895160322,10.35103885,8.844489848,8.099173758,8.667008829,7.354107946,7.293126989,6.671717052,7.094879238,7.627617206,7.986283,8.383365202,7.968612343
Malaysia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,12.16906301,13.89650062,14.36906905,14.43897559,16.11345352,19.05887687,21.76610396,23.23305036,24.26754924,29.66446556,28.94187077,32.46869231,35.74246224,38.30650029,44.30011545,47.74494601,57.72828788,66.84618236,72.3554568,81.60328163,85.8179059,105.1366177,119.1040465,107.6624451,105.1167746,111.9732156,122.2673559,129.2597576,129.2495369,128.2905787,132.2408658,151.986166,173.9686916,198.2262132,196.8154559,179.0064474,159.7189877,168.08253,164.9907635,156.7572545,150.5365077,149.3500723,142.2636378,136.1313513,133.1916477,152.2253873,148.3453446,150.7585827,153.5261698,159.1553454,157.2532437,165.6881696,166.2316546,161.8849968,163.9949992,164.1586977,181.6950419,174.6444442,154.2460466,159.1643334
Maldives,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.791205165,6.034788177,4.201718262,4.095328274,3.454541359,9.160294197,15.54756072,18.82675059,23.30604259,19.18507433,15.97406985,13.03718238,10.07945249,10.6617891,11.47489259,9.130252735,7.873032114,10.41554892,11.35713739,11.84303504,11.46167314,12.86869694,15.22383376,14.50738023,14.78781533,18.44349067,19.66739881,16.54894376,22.45114983,37.80756158,41.49905694,52.15391686,55.55945743,51.44050308,45.69285612,39.5782247,32.59086412,28.79447599,26.3720644,26.44655835,27.34337411,27.82778426,27.58627284,28.01448746,47.33950954,34.65932851,30.77532921,31.50147281
Mali,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,3.329210028,3.659576755,4.819851078,1.542678595,1.527185049,1.479739844,0.514930246,0.546877267,7.245949785,9.583367201,8.878554564,9.065278894,11.15401491,10.41675342,15.04732564,21.48402315,23.65238539,16.69956396,19.34448537,18.83160242,19.12539428,19.39334688,19.71695579,18.82530737,11.36152695,12.9991259,14.51401398,13.74536503,10.1863502,10.93818252,9.595425139,9.347888994,10.32367226,9.87157259,6.057980932,7.901736442,9.876782417,10.55384198,12.82038273,13.542758,13.49768263,13.48324717,14.64622514,14.85712426,16.86609297,14.6818997,15.32156318,16.10946266,11.77818226,16.27808644,17.86766515,18.25997868,19.41135576,20.78244141,21.95325043,24.88256107,26.31227965,25.85396224,25.53212791,24.41026028,25.67260298,27.54308401,30.45689727,28.42665841
Moldova,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,5.817327237,5.828260531,4.979409431,3.674130036,6.663622931,7.673323621,6.890569269,13.81564055,11.74351389,12.33864071,14.65807131,17.08665217,20.22617613,21.13862743,23.36430349,27.22968354,36.62604224,36.2105518,35.67775655,27.674478,27.65064122,31.7801107,33.39942409,28.30874129,26.3501226,21.95629379,19.53448152,19.14174377,19.90230395,23.03361268,23.16605088,22.00277037,20.76681689
Mozambique,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2.203732607,3.829448648,2.797873217,10.32330043,11.74285645,8.399557984,8.317917827,8.297431766,7.301279855,8.781830705,9.476747158,10.28902396,11.75264772,8.74837075,8.818967295,7.767491257,6.592418515,8.579516506,9.590824392,9.82833324,13.69986584,19.2826716,21.19963178,20.41730821,21.90573389,25.7762412,29.65148025,31.37846323,30.62283392,23.73118528,21.18363977,20.33235008,22.80917867,21.84177526,19.4660857,17.41231714
Nepal,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.887966807,0.880822677,0.934605706,0.858271365,1.027963929,1.330152501,1.18383554,1.295187345,1.666770102,1.813660553,2.028497567,2.897246634,2.781943236,3.229881443,3.339284767,3.612879767,3.087511887,3.596038976,4.302253366,4.812408711,6.445516942,6.905215766,6.760145859,5.904004399,6.039236129,6.77112083,7.457400547,7.383280496,8.416950488,9.326175427,9.073142373,9.424972902,9.523679535,10.37735017,13.3122713,16.42923808,16.61583156,16.99861427,20.52557282,20.69779669,22.03067872,22.71559478,19.71676338,22.61444251,23.26444079,24.72490959,28.57774046,32.22140458,44.84468141,51.48132475,47.48153988,45.96092143,48.30907409,50.10692152,54.13192224,56.59151782,69.53267638,68.88714954,75.94562223,78.61090713,88.10863687,103.2653573,94.08601657,91.3722179
Netherlands,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,47.48383647,51.88553294,55.74702864,56.41685823,58.19749792,60.05414367,64.91173089,69.12677492,63.95398055,66.01761537,66.19520765,69.67340682,77.40627489,82.00782861,83.0710365,88.23398488,98.56143185,111.4927036,121.3995102,125.217073,126.7249985,126.2208964,128.1747213,128.7521295,128.376681,134.7696547,141.2100864,151.9550714,155.5353092,162.8988064,165.5057883,171.8443974,174.6207112,179.7657777,179.8561958,187.1329279,192.2125737,202.6952758,214.0080877,219.7332543,216.7003837,216.5398359,231.3301003,231.3409447,235.6375266,231.3614574,230.5551764,233.1990376,248.8615031,262.2449932,272.9723344,278.0835632,278.1569699,284.0561899,281.0522401,279.7732496,269.4743767,259.3841018,244.6606095,246.6678833,234.1533285,216.7664165,198.8685827
Nicaragua,57.58603841,56.82488799,60.88820249,76.13559835,102.0482074,103.9530538,113.4966331,96.60107581,98.73045476,80.48955781,83.19619119,80.57209067,80.61873229,79.67679117,69.47251431,63.62702362,60.23988174,50.42661519,42.86516548,33.7184026,27.92376622,22.90420936,18.78600222,18.84946685,19.44525697,18.16046802,18.74783448,18.49107642,20.93471802,36.96743149,37.21942894,40.48342801,42.55478018,21.57769948,13.52497714,12.4726337,12.51266173,10.12597192,11.96697513,5.111295115,11.00066861,7.12140727,10.45276148,13.05182788,15.6987873,16.54706259,12.86624446,16.17155654,19.80707677,23.1411149,23.51534664,13.67067045,15.08254687,17.63139292,19.57872588,22.5502809,26.38782611,30.12194869,28.14050235,25.38080418,24.26500796,23.94891192,26.74205325,29.36941104,31.17096795,34.14489092,36.6938817,39.08374145,35.96785563,29.83403559,27.73761841,25.54294924,26.11781498,26.67097837
