Central Government Debt (Percent of GDP),1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Bolivia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,69.24377668,62.91492233,73.5969462,77.4989043,50.55833864,53.53916763,64.79515071,76.4853353,76.37892699,84.835785,91.97568617,111.7899008,144.2554384,150.594801,160.2064913,192.1006878,140.0439869,135.8992841,118.0143955,100.0317892,104.8548416,94.6222007,94.10923564,85.40466173,89.04571414,83.04202582,73.55186192,65.55118229,62.21690853,62.49591916,63.71606419,71.71464011,76.3401397,84.22901343,78.54120645,72.96576381,48.95097022,37.11334992,33.94436075,36.23374711,34.40733246,30.22349729,29.08792989,28.29895393,27.74243822,29.50644811,31.15892574,34.2786329,35.85085801,40.20495999,57.82780444,62.73414292,65.36218602,73.81927525
Bosnia and Herzegovina,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,54.3973406,56.03887613,34.68628603,35.23053375,31.19855631,27.63550946,25.48687356,25.51543483,21.24555624,18.7094221,30.97066751,36.39542184,42.23620993,40.97463775,43.60676952,43.81296848,47.23393851,46.37557622,44.87429009,38.61591254,34.89421978,33.16801699,37.09836106,35.6177802,31.01327,32.2154376
Botswana,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,43.37603052,43.42305952,40.24243899,40.19396056,43.1804919,40.12731559,20.71514579,13.36410606,12.57089777,15.62225639,18.45161961,18.54585682,21.82319391,30.75902291,26.66311258,22.71448692,17.16154899,15.87759353,14.40197758,15.93494897,15.27419095,16.58452749,16.20595202,14.71233133,12.59915442,10.67149825,11.98294718,9.678947458,8.365158704,7.606477845,8.54526752,7.289011274,11.32819602,7.738692588,6.322660262,6.122672874,7.772041173,19.25222386,21.88629705,21.07436228,20.6232843,19.01643969,18.32723871,19.08469661,16.41093759,14.68503821,14.98069412,16.27615674,19.70642911,19.66822132,18.33232097,20.27928265
Brazil,8.967857064,6.868600449,5.541382451,13.94894357,14.68207655,17.03588697,34.54770743,22.06478762,30.60953489,23.99126793,22.26628281,25.64655756,23.64938512,20.39806557,22.17134688,21.89620505,17.35428349,16.34295943,17.35187702,18.43053025,18.24403187,20.10059467,26.47810767,21.06414706,21.18550682,23.98308526,26.08298309,28.73614777,32.42691266,30.7568019,48.14546298,53.71615129,52.23615247,47.90849842,91.0194049,58.86223614,56.2791799,107.6556805,75.64964031,33.8022094,50.00266503,60.30710009,98.41433359,77.02647138,39.49985032,33.39059779,40.22873505,42.48292065,54.42438695,64.58326568,62.64567609,66.26555925,74.97654627,70.57357915,67.07300458,66.26230887,63.95241617,62.45168475,60.65601612,63.80769649,61.31878046,59.3416583,59.84949,57.22840938,58.45727111,67.53755403,73.41881552,78.60890145,80.35937079,82.68308148,90.94166454,84.5093105,80.14664028,81.19285764
Brunei Darussalam,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2.631981804,1.768890963,0.887203525,0.367085323,0.28713825,0.594203986,0.684502278,0.942399529,1.109942018,1.112906505,2.128517848,2.100637333,2.208599297,3.23122759,2.953086861,3.004878804,2.825466295,2.585699022,2.575239948,2.856722367,2.514075503,2.057113615,2.329215526
Bulgaria,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,3.9,6.7,10.3,14.9,22,27,29.4,39.6,48,57.1,115.2,145.9594625,199.9073284,118.9575847,72.02942054,113.8421693,88.3749579,65.13615904,70.33642763,70.72244312,65.00960867,52.48574657,45.19212493,37.12752591,28.47001568,26.05155278,23.11821303,17.66695,19.44399748,19.86385536,18.9749602,20.41510398,20.89299272,31.22973208,29.65565709,33.65094565,29.60435637,26.61127148,24.5899964,29.98646722,31.49709979,31.23373362,30.89726357
Burkina Faso,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2.233195791,2.456494931,2.507158522,3.368283481,4.796656006,6.527189702,9.679346888,11.0768267,13.21138416,14.19644909,14.48911433,17.06811025,19.58136374,23.95363271,27.21708341,28.49433534,27.58093443,30.68505084,28.82973418,25.54124778,25.60121294,28.73283405,29.58987358,33.59202815,55.1190917,48.93332404,45.84527182,48.37104743,47.68295873,46.44295928,47.47999265,46.62702962,43.28694195,39.65816213,40.74047624,39.21402723,20.08884921,22.41608794,24.86787102,25.8712008,22.66835364,28.40036503,25.21060004,25.90062262,26.08579712,31.2510933,32.85450104,33.88232548,38.11438819,41.89830796,43.84794498,55.63886892,58.40535254,55.90457801
Burundi,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,4.676642974,6.343892825,7.253912758,8.975303611,10.38694967,9.510365977,8.46880343,6.927119879,7.550009716,7.828947366,7.278933175,8.863859742,10.28989555,12.40771144,17.34172181,22.18878106,19.21177512,22.68537904,27.18644742,37.01110316,44.28545796,47.68627923,54.81062398,74.86757116,81.84197721,83.45274748,84.04081681,84.35058567,93.45849946,111.9716977,119.6252822,117.1209671,139.3972984,122.8004592,138.8675384,140.6454692,136.4251126,127.3866682,159.088312,171.969259,172.738336,136.9801189,130.2548505,129.6132456,102.5152332,25.69016304,46.91165325,42.70570963,41.43049155,37.85760615,37.97066655,39.92597971,46.11901291,46.90232945,52.970966,59.98754138,65.96489731,66.56368012,68.35914368,62.36252747
Cabo Verde,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,32.97327792,46.05408776,56.44283155,57.95073155,63.40990418,54.976713,45.295789,45.245823,42.394425,38.664399,45.496497,61.269998,57.008,73.386341,74.265484,85.739682,79.32277636,72.93817722,66.35657103,71.94323682,62.15838408,64.65838195,65.58197268,67.84710752,66.71275643,66.20299946,59.60079036,57.49331987,58.78834666,73.5152337,71.55955677,82.93729163,93.47598572,105.5893027,115.5708127,115.4032188,112.7586848,112.001438,109.4194779,143.7826592,149.0631096,124.0262292,114.0391457
Cameroon,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,10.67435204,13.81056072,12.56510405,12.74208135,12.50273738,14.63738468,18.28437335,25.95797396,27.86150664,28.63973045,26.91927708,24.23704821,24.11158897,24.1273868,21.69311057,23.73456555,24.41898165,24.93247303,26.20600144,34.7035409,40.96998631,43.46004214,53.70594516,53.47000482,90.25947124,106.4892782,94.21973556,no data,67.75900605,68.3700938,75.88128511,62.18178477,56.60005653,51.52063823,51.72841931,43.84327309,18.35376689,13.80440374,11.15302266,11.25564944,13.98914401,15.04699693,14.87413043,17.47150548,20.70718796,25.82596705,26.1798217,29.70895743,33.19772454,36.27655573,39.39405027,41.31309518,40.5650709,39.15032767
