Central Government Debt (Percent of GDP),1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Haiti,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,12.53851458,10.95103136,11.13699656,8.920681317,13.33303047,14.19057516,14.89788671,18.50057399,20.11443947,19.79449386,20.32700112,23.68746041,25.54147914,28.88441831,27.32774357,25.64763269,26.47163058,58.60071059,90.88527221,98.69491488,85.10651901,80.69131927,118.8593145,98.01836034,35.30460114,26.22652709,26.23888453,26.23423498,24.01152891,24.14565649,32.45464451,28.75400053,31.95132765,37.79411934,30.44870734,29.70930581,32.16332395,24.43561175,33.9208361,19.41115003,24.9016349,22.29297426,24.05687265,25.11063396,21.35362314,23.88886201,24.38645763,22.51639854,24.11319975,26.53020969,22.32137357,28.86324424,29.50580213,28.46230819
Honduras,1.915644189,1.623508448,2.516058515,2.224696733,2.40143959,2.239593883,3.403250105,4.009738924,no data,6.974342095,7.768322697,7.114250332,7.396215917,7.877315841,8.46924331,7.764744614,8.202161378,8.419800638,8.438744368,11.26017921,13.29899966,14.87377426,15.69154531,15.48701353,17.02801148,21.20256111,22.88150277,24.07503239,26.98858665,29.20822911,35.43455864,41.79757491,47.07133081,55.2315667,59.12442768,59.63012781,59.88732665,58.06781045,56.93311678,52.91167845,89.24185964,80.19962796,78.23812616,94.33088898,89.84755358,80.95920596,88.65332801,70.30760504,65.76322064,69.55686746,62.46870302,59.8286192,54.3799242,58.10848788,58.08804511,43.88725074,28.32301561,17.1562954,20.0764634,23.86625467,29.17992004,31.5933688,35.33939124,43.11561343,44.44062146,44.32557985,45.9804229,47.43658535,48.54642564,48.26855834,57.73376154,55.11550316,52.87666314,47.87432621
Hong Kong SAR,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,3.55752826,3.468635824,3.740046106,5.543115185,4.957068248,4.589743453,4.179903026,3.923892877,4.881738381,5.516986689,6.09998811,6.774472413,7.669626176,7.4778596,7.271085945,7.508264682,6.989325883,6.595946504,6.16604441,8.360773797,10.72572859,14.59650314,no data
Hungary,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,70.66749335,63.52376279,74.29122614,76.49955636,86.61136801,85.0629507,83.52802818,71.5144786,62.66306415,60.22430342,60.26198307,55.28103613,51.62458833,54.2463146,56.53375735,57.19167612,58.66506283,62.17737653,62.64173294,68.14783179,73.69938195,75.04717193,75.70233752,73.80917114,74.57939952,75.05424755,73.76669491,73.34315455,71.36369806,69.20589969,65.19206295,78.41910141,75.20911774,72.2255505,69.85465397
Iceland,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,14.48629136,11.45048549,12.32036849,16.17297938,16.60019081,18.07634187,19.28200633,20.46090365,22.22866435,23.06505681,26.46422726,28.30171959,30.28170023,30.8189102,27.64009959,25.45013299,26.72594854,31.1616522,31.31630835,33.57090822,39.54525301,47.15338135,49.4748184,51.457781,49.02754391,45.27763059,43.2028465,75.84232568,75.54741594,82.718313,80.48434683,84.5058872,78.99818738,66.53203659,69.67919159,67.47818237,107.9590469,124.7573308,130.0044558,135.6717161,131.6010906,120.1850015,114.85132,95.30895152,81.54917725,69.34486871,61.34657686,63.7635901,74.76500137,71.72222709,64.04801095,60.82145457
India,26.12710779,25.1774323,26.38853634,24.6462406,24.86206554,29.62537764,25.47954173,27.38253968,23.73223723,33.58485463,34.45864198,36.78928987,36.20562771,35.42749529,33.81146548,36.73269598,36.37774772,33.99422132,40.30924461,38.77964843,38.18350324,37.58300908,37.15702803,34.12933398,30.60954013,31.38095878,33.25662808,35.94224725,35.91302761,37.9085666,38.03458975,37.18070944,41.69577801,39.64776887,41.56069784,44.27934548,47.86348842,48.86588771,48.90707673,50.45593633,50.77025164,50.11085494,42.83285732,51.77129336,49.72898262,47.42999439,45.66407798,no data,55.84267506,56.29082716,56.57010874,58.00897056,60.87279438,58.21856166,56.10004488,53.06073819,49.5520205,48.29167772,48.49457668,50.21880479,45.62066522,45.77401495,47.09213889,46.98192552,46.02538828,45.7738419,45.53249258,44.27265823,44.12789747,46.70443438,55.03307629,54.42123285,54.35952229,56.04810066
Indonesia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,33.67807323,26.37786035,18.87195973,17.23414684,16.33750665,15.76293478,24.03218238,17.48881147,13.56029518,14.04640515,23.22741523,23.67073979,20.98494686,26.24697886,35.03955778,45.87912627,41.40497217,38.64772394,37.10345461,35.71663777,35.24730309,33.19198711,32.14494151,28.34624076,23.41697103,23.34063454,62.53980495,83.03120417,87.43729874,71.10391001,61.82997758,56.25407424,52.04221126,43.52398417,35.85404878,32.33356606,30.22692131,26.46083467,24.42915916,23.09771818,22.9547102,24.88441918,24.68167276,27.45999096,28.34653136,29.39883116,29.77540705,30.18192082,39.33446318,40.69606723,39.48312469,38.98402752
Iran,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,14.13544679,14.15685062,12.72932008,12.84028915,6.675158741,8.806363357,6.924528087,9.233963958,no data,no data,35.4780452,47.56493233,47.70749781,35.72468393,10.03476535,8.733482327,47.432839,48.61343458,53.17748915,48.82317501,37.01371411,29.31980388,25.24542843,25.63333766,41.66233714,31.16176238,35.80978672,37.68347078,36.1592381,27.11803826,22.15248334,25.60659023,28.5307754,26.78840686,25.714118,22.17656818,18.236322,16.06229016,12.3735073,13.27793732,14.75730279,12.25919374,13.56229117,11.75762424,12.58742092,37.0229323,47.90390156,45.04430906,42.9442247,46.55486302,48.34253601,42.4039104,36.9256848,33.98170027
Iraq,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,344.3174174,227.3440651,143.164845,117.0848288,74.16751105,87.3750997,53.53287972,40.7193659,34.78179946,31.98701615,32.86253938,56.93439279,66.72237103,59.76055657,47.11165151,43.36133869,76.54706821,57.64172826,40.01715921,44.50466568
Ireland,37.684514,45.606385,47.428854,49.22275,55.983465,63.819841,67.314432,70.149143,72.794208,70.336719,73.639106,73.660398,73.513107,74.475079,70.889501,73.418375,78.05461,76.972967,66.104769,63.585661,62.237476,59.672955,55.882557,52.061761,58.90427435,65.65380286,70.15871014,67.49382677,69.77136368,74.54622544,75.84488065,80.70384979,77.86236692,87.12910828,91.95117263,93.1054783,102.0959434,104.7390805,101.8446428,92.61847637,86.30101634,83.91699304,81.78794662,81.74070331,no data,77.37527919,69.48180603,61.25566184,51.10756386,48.25057847,38.91871745,35.10058485,32.5617241,31.36712309,29.61468012,28.81857715,26.08506873,26.44211619,45.09921287,64.68017273,89.6607742,113.0264948,122.3764442,121.0680232,105.1743007,77.00699744,75.66469041,68.31215074,69.28631612,63.43457832,63.86352526,58.92513999,49.05081236,49.80462107
Israel,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,243.6039715,265.0919481,185.7738873,151.8342159,133.8780228,135.9384527,137.4710726,128.4513489,114.5973163,110.7597366,109.2698659,101.5522194,90.28060472,88.90928189,87.58514571,89.4497582,84.21948647,75.08753356,79.04031321,85.09850781,87.46326852,86.31509602,83.50656434,75.84313164,69.20619241,68.88962143,71.33696712,67.78672608,65.98752019,65.68639288,64.76582308,63.72465086,61.77937257,60.02482156,58.10429221,58.53501978,57.78427482,69.4157389,66.00134595,58.79707297,60.33119479
Italy,30.98405271,31.53097463,33.49384989,34.44281149,36.22453323,36.01223999,34.98580025,34.19607811,34.02135091,35.15190576,31.40513479,30.05367374,29.09266377,27.36622617,27.36759057,28.56535506,29.74153232,29.11128802,30.54288214,30.8276088,31.19965015,34.58139667,38.11762611,40.72234065,41.03247067,48.17874976,48.14104359,49.94250408,54.96344468,54.24698894,51.48198045,54.29621094,58.65311254,64.66667241,69.49665997,76.19164509,80.88769121,85.18216953,87.45128105,90.0925735,93.97517068,96.58084278,103.2569603,113.0753937,120.1224185,117.4313588,117.4107175,114.7648215,112.0352963,110.4296352,105.6716262,105.2392158,102.7515476,100.8784633,100.3033158,101.1627831,100.3046144,97.40300384,100.0564323,109.3352052,112.0363692,112.6309314,119.432916,125.7207077,129.2175596,129.5131333,129.320548,129.0944019,129.7718019,129.6289439,149.8553452,141.544932,134.6515704,131.6948954
Jamaica,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,16.04845529,16.17630854,17.33417801,19.07430757,20.46572779,22.7696968,22.04385622,21.35435524,22.89426175,23.85559361,24.32979814,27.55867981,34.27154029,52.8247194,53.88505117,65.01631868,no data,124.0405063,143.6312334,144.1363412,211.754777,237.7712475,232.1685684,200.5742797,205.7852772,179.357834,168.1525612,128.786246,175.0776533,100.3814643,106.191767,90.41446096,85.21277277,70.231642,74.40514731,75.60393496,86.75498729,93.68712363,110.6521179,122.2392382,128.7845953,123.2539428,127.7151119,121.0696691,118.2488889,128.8941535,145.2144716,143.7430386,141.7273916,146.6829259,141.667458,140.287878,124.0267233,115.4346314,103.0118864,95.59797973,94.73549809,108.676088,98.97649283,80.87041295,74.20821159
Japan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,7.578183532,7.437497915,8.37723385,11.45758843,10.59402576,10.94049976,13.99973142,18.03149543,22.15111439,28.91840609,32.45876392,33.74690718,38.09059613,42.22351807,47.2661134,49.05141201,51.82485719,57.254727,58.28986887,54.6696917,48.81098958,46.2646259,45.04336816,47.61891444,51.43474898,56.77265665,62.20660274,65.87722803,63.67574147,72.00241791,80.72567666,89.19860341,99.45680827,104.724005,113.7397138,122.9483365,131.268361,133.3775685,134.0836338,140.6864753,150.9197508,156.78317,168.3521125,176.7222552,183.2676627,186.435853,188.2476966,193.1151475,191.2609547,192.4217357,197.4618886,205.4994904,214.3262391,215.0387165,205.6138462
Jordan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,19.78323053,24.15616214,31.34030511,35.21977991,40.70418134,41.33720332,41.79791052,38.60107204,43.95299251,46.67043339,46.19147313,51.04505855,53.40720558,61.24671402,68.68902041,72.35332304,85.21879993,84.30610551,101.8942381,129.2678783,195.4382203,227.5210359,207.7408953,155.0554713,140.5895513,129.019616,117.8256674,116.4903636,108.9739195,110.8036049,108.9997016,99.25909652,94.40969554,94.88386609,88.78760178,81.52526385,72.95867197,66.30360831,64.25203476,54.24032005,57.96456412,59.43722776,62.06879326,70.52092951,75.58366154,75.01317056,78.4231487,77.43171555,75.65673418,74.30178255,78.01500415,87.94970476,93.30020103,93.0274276,92.8104911
Kazakhstan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,21.61854895,17.65683821,15.35627655,13.21757683,9.989114381,7.05524867,5.937419532,5.322001371,6.326761736,9.51364827,10.18534053,9.707503262,11.69335735,12.2174653,14.14728564,21.19575493,18.89942443,18.74502886,18.88426054,18.48304602,23.57853038,22.31044463,20.27756426,20.66561436
Kenya,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,9.67585633,9.082188733,10.03945126,9.628070424,10.17756637,9.52181601,10.26802565,10.45819392,9.945765489,10.59172323,13.42787697,13.12635793,13.38471744,15.03007597,16.53146254,16.78765902,19.0671396,19.4979244,23.03044381,26.90857432,26.11813,25.58196775,28.83040132,31.28602729,36.31516209,33.86935504,33.43585282,37.56840349,43.03720242,41.16118894,61.64466054,57.01202915,52.0849491,40.53538334,35.98144346,35.89176582,38.40807131,43.12168801,41.27605425,42.01015839,43.7922038,40.75451723,37.41165945,37.06569569,34.19495471,34.25435791,35.9605988,36.69466952,35.68727746,37.61624268,39.75567297,41.28103091,45.83172211,50.39855127,53.86556917,56.44892837,59.08464572,67.96496109,68.23221097,67.80002476,73.10685392
Kiribati,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2.461891258,5.033647725,7.717283554,8.431467923,7.314399111,10.92642201,12.29222071,12.26899585,11.01661876,10.71640573,9.807915405,11.8412013,12.69273725,17.00996331,13.26496233,12.31468804,13.62309494,12.11505748,12.87116998,11.11436498,13.85260373,10.27468145,9.429943765,8.802480531,8.134809952,8.860061731,8.974896393,18.7954422,21.23100071,20.15867763,18.98264566,18.9590885,17.19617507,14.09485667,13.30072437,11.72423931
"Korea, Republic of",no data,no data,no data,no data,no data,no data,no data,no data,16.1706286,no data,13.11328453,12.80765869,12.49272064,8.825090897,6.288849297,5.884828688,4.255513749,3.578800723,2.640069098,no data,10.69349567,14.67947704,18.56600511,18.15423165,18.93967109,21.82003206,20.71448787,20.40338347,18.70179372,16.00882283,18.87865858,19.16563385,20.94235755,19.73315359,17.33618098,16.6303219,14.93201516,15.70495038,13.0262782,12.7223196,12.23855845,11.41577632,11.16020101,10.42139873,9.243626867,8.152613557,7.502807879,9.308806724,13.29770144,15.16850874,15.49052897,15.99668921,16.13270513,18.96424869,21.58647254,24.94130751,27.16781946,26.5312067,25.80971371,28.71370404,28.2622739,29.00059124,29.5185518,30.91644883,32.18316379,33.56412261,34.00200692,34.17773139,34.33792756,36.32116012,42.21100111,45.14473018,47.8033341,48.85237171
Kosovo,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,6.897019721,6.4522451,5.568822845,8.558981094,9.424802319,11.1900246,13.42379811,14.47186656,16.37866751,17.13662595,17.66928375,22.4867092,21.58132171,20.0865577,17.52439656
Kuwait,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,9.077131068,21.35772791,24.57081919,no data,45.2943076,27.89462275,28.76255726,37.68416765,34.90676493,26.45215344,24.26493749,25.62195662,25.49047406,21.37368953,23.01869159,21.26833477,17.24585062,13.85534947,10.20209213,7.793142062,7.047138481,5.376099829,6.653287951,6.16098987,4.641097115,3.602054094,3.092188645,3.429404775,4.604432996,9.884195814,19.61863504,14.2617598,10.51663019,10.23001958,7.192223609,2.943901924,3.166132076
Kyrgyz Republic,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,42.40065895,52.42566293,57.65178787,64.80258312,85.12334899,119.5696261,123.3026537,108.2074942,107.9414737,108.2302789,92.66645627,85.66070891,73.35468993,57.743779,49.011562,58.49440133,59.69858981,50.05575903,50.47787935,47.12475568,53.59678577,67.0873453,59.07281848,58.78610661,54.81799104,48.84825072,63.6430074,56.20105464,46.82241903,44.71655085
Lao P.D.R.,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,11.24921143,14.96182201,32.53739699,52.60222727,33.38913598,64.12622712,70.78034807,40.80056059,33.01683029,31.46996446,63.54815942,121.1190566,213.4863339,192.6127607,193.2826688,172.5604215,154.0444627,140.9854096,128.4903021,113.0278214,58.78633162,82.70799574,194.092279,87.58337887,59.26813253,94.72490576,95.30835966,90.14835214,80.65340872,73.20259734,60.00702127,55.92979022,51.72348147,51.82251727,49.31502899,43.00450427,46.10324228,49.49335341,53.53410605,53.05220946,54.47430854,57.1982365,60.58785562,69.12943959,75.97183893,92.85820353,130.7282259,115.8763832
Latvia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,13.49144848,12.98518751,9.863132624,8.481173428,11.63948883,11.92910623,13.68193397,12.8916627,12.67384372,12.57380496,10.07672544,8.28174267,6.466783851,15.34616343,31.31809734,38.98026756,37.55373956,35.8752042,35.57471292,38.14609553,34.233501,38.24126798,35.94284976,34.97588225,35.35845671,41.37814237,45.75531664,43.68001134,43.78682471
Lebanon,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,6.841555407,4.958755129,3.980665574,5.215761803,5.064794378,no data,22.36164817,17.7035305,22.78538488,26.27607722,33.9843545,44.4424222,126.9767369,133.8251293,109.272137,86.03875638,82.08456534,35.98520122,41.54083417,no data,99.69524672,67.12716266,51.67764545,50.49997009,71.51046673,79.58311123,101.1532335,100.2411695,108.197121,130.2108461,148.0758393,163.0822424,163.1169171,171.3084839,169.54668,178.9258494,183.2914333,169.300635,161.4871176,144.4992036,136.8292094,134.3861106,131.0511642,135.4029885,138.4011696,140.8407291,146.4031436,149.9793603,155.0814997,172.100208,148.7090583,357.6869701,255.1832504,195.1700371
Lesotho,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,6.983825994,6.094504518,6.055764402,5.08044034,4.631402599,6.091051349,7.98824823,16.33927272,15.12709118,22.57773041,29.15496534,39.11783539,61.42470321,56.71790134,57.22801444,86.31076739,92.45679992,97.3588163,105.2036974,112.4847604,101.2092536,108.0100654,74.48636154,72.92439324,68.44774927,63.96864017,72.90320465,67.04053564,80.87671719,83.9582029,88.47994584,108.678373,79.62035531,52.6329338,49.43329182,40.96838081,43.72910477,49.62075477,47.02715091,35.87023316,33.80951206,36.17141001,39.84619273,41.19226784,41.50657732,45.81202603,41.45001812,40.99191481,48.19125682,58.21897437,54.68993326,58.38884547,64.49081879,61.53110517
Liberia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,29.54275732,27.00058569,24.24987881,27.52564168,30.98305745,40.02427142,47.26664289,180.098454,157.9800986,162.9321811,173.7128645,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,488.5144762,484.261365,480.9187126,658.2153538,543.1423864,534.8943898,471.5262363,393.7799629,233.1032391,130.9361053,25.5615391,22.70528628,20.50416811,20.61189293,24.33227674,24.77091996,28.60803924,31.83935948,37.12978623,48.55047026,58.67032155,53.27960261,53.98897058,58.80820743
Libya,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,5.9915821,7.0315468,14.590283,11.939629,9.3948753,21.401699,19.059828,10.137755,17.344188,21.653938,15.78552,25.378702,25.638743,29.552117,29.749614,31.00606,64.858756,65.183058,63.765739,61.055027,62.555342,59.342449,57.590506,50.712478,48.746576,52.229965,40.199405,41.961023,41.664335,33.908786,26.244386,2.7896786,1.9395531,1.6637526,4.0953481,1.194316,2.3193922,1.7427162,11.785985,2.3731135,4.1567163,80.357941,189.2736399,192.7530625,142.7091085,no data,no data,no data,no data,no data,no data
Lithuania,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,11.45329818,13.7438623,14.91532633,15.9004911,21.63870222,22.22626903,21.77539859,21.20765227,19.3013507,17.80017195,16.85276798,16.40939197,14.99019631,13.43563079,26.42888758,33.64776638,33.97593089,36.7562345,35.76174315,37.61653665,39.73766121,37.40171231,37.90652956,32.62374724,34.87425956,45.33525406,42.53206184,37.26674579,37.67211754
Luxembourg,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,13.54446408,12.66640782,11.39058717,9.880331107,7.888067101,6.668164938,6.201930031,6.08092326,5.585499429,4.826653118,4.412554665,4.656373682,5.200162854,5.599403688,5.830994537,5.525824441,5.804135017,4.863242485,3.583725762,2.656536655,1.830763108,1.290154656,1.534110244,1.936086127,1.91921282,2.628008552,3.434741316,3.747783542,4.078618432,3.52906062,3.034020708,2.92001675,2.568459604,1.660477211,1.390948371,0.82097685,1.44666731,1.413318669,8.078061265,8.276420141,12.33883691,11.8041486,13.39457468,14.83264894,14.44644178,13.81908852,12.81221034,15.83116722,15.77779552,17.00824103,19.53016151,20.64040022,20.98453482,no data
Madagascar,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,29.82813984,27.96810971,26.67513643,22.78805202,31.03509424,27.50483445,11.00242869,31.22609615,20.10461341,28.60555982,37.69905333,51.47643351,56.0551679,57.54890163,70.94530143,82.74124427,84.90591819,127.5447961,126.5743793,121.9802196,104.3987589,126.686918,109.7543188,105.1920118,95.96309596,95.83683997,98.71624599,89.73956531,108.4595098,104.1146878,90.21159691,82.14374161,86.69275891,85.8619092,81.89563813,74.36637969,32.22628482,28.21023076,31.0101038,34.8565742,32.34135342,29.94680517,30.43514561,36.24292359,37.84849393,44.06229875,40.28076563,40.13010794,42.89565087,41.25262434,51.94117011,51.94556837,53.90346068,55.57047063
Malawi,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,17.50414853,15.79054622,17.70566079,20.96735725,19.77448233,19.39036447,20.69726382,22.22390837,25.40258707,24.85358752,25.31179503,29.2222842,32.5183433,33.38162414,32.99299105,36.80272499,42.82644535,51.55492937,43.53980813,40.10257346,38.03958926,32.62457114,43.01949546,41.20214209,72.48075909,65.70805492,40.93404425,34.78722265,58.58538325,62.13496274,61.46687739,no data,101.5052275,84.74145101,74.66079692,70.93343949,17.90958377,18.9477625,23.5235244,23.48688752,19.31307666,19.98340121,28.60621145,35.34712104,33.51496016,35.45512403,37.08028642,39.97549727,40.80780006,41.18741305,53.85772564,66.54633319,76.7008141,91.3199213
Malaysia,3.942937325,3.072916667,3.866141732,5.702133795,7.814396415,12.17948718,12.18379447,14.94342567,no data,no data,19.50516413,24.92092374,22.77595219,23.51669528,24.21796471,27.43641948,28.02154592,29.79940806,32.00735633,35.37224114,35.6890145,39.8766491,42.36832755,38.0442311,33.89890896,39.86719804,41.93871935,43.19167659,42.6211657,41.05379315,40.24360774,49.45114692,61.23442302,67.99681397,66.6411575,75.4704008,94.60928302,94.74171036,89.82031034,79.66984129,74.12946366,67.31966188,59.10902311,51.1338733,43.72281358,37.70888275,32.45219795,29.29810957,33.42766378,34.22697911,32.36369304,37.94826024,39.52461503,41.38760774,41.95684493,40.16179301,38.7497694,38.2720593,37.99690727,48.53322669,48.86573509,49.32811671,50.92303905,52.25685785,51.93806955,53.57448467,51.89059567,50.04967161,51.18588126,52.42137105,62.0067601,63.25873694,60.26663108,59.1167527
Maldives,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,40.3536394,45.03073438,38.932658,38.14914438,69.78228268,82.03814302,78.86319406,79.18122018,67.40326277,62.87706804,62.88888213,63.39365485,47.99785101,43.02903567,42.39302126,46.72182863,49.04467434,55.6967979,54.61416528,52.22915539,46.93407004,38.11212549,39.26122999,38.94848988,39.01684968,41.84465343,44.27927922,37.60573337,34.67419291,43.19586787,36.77954237,35.82367008,38.95785465,48.38693428,52.7476567,51.86343027,57.12319696,55.94865346,55.06499779,54.68598987,61.84981574,63.74037656,70.64205256,77.19236594,155.6497353,123.3697501,120.0451921,123.1432177
Mali,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,65.80380353,61.95850296,58.02190502,43.50469902,48.37674683,44.65594749,46.72611127,48.32935199,49.62284276,40.53631392,45.85361039,57.42495759,70.90815409,80.81299249,84.68129801,98.79767534,86.64714442,89.01291506,89.91936539,77.46882777,76.82973322,78.98728395,86.9268243,87.53563697,105.0430469,87.20239378,86.69089632,90.7401638,91.23994467,87.68472073,90.52188535,77.49775221,42.64296465,44.14965239,42.43442107,46.62639282,18.06579991,18.53452697,20.09815188,21.85512478,25.28872977,23.96476347,25.38986718,26.38185914,26.90665618,30.6611192,37.22147444,38.22628367,37.52425937,40.72455894,46.92511849,50.34586187,53.0806473,55.88916269
Malta,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,15.35438729,17.99385498,21.18819987,22.08536316,23.96663114,32.05105869,34.28406523,30.58555287,28.569152,25.79917257,23.75466202,20.45417089,17.325303,16.29972718,no data,13.31439974,12.10887309,11.99569177,13.70362161,14.17059844,14.41861478,11.89110667,14.91907118,17.50071865,17.13751936,22.85393181,25.12357063,26.60536913,30.79677497,31.32885294,33.59535952,39.51914341,49.31286558,53.2028606,54.59970656,51.87600931,55.0402518,55.55508495,61.2862015,64.39693025,63.38018498,58.8236211,56.96035677,56.80226038,62.0948225,61.17998323,64.76223252,63.12972561,62.68550224,58.61661953,53.36473837,51.93846727,45.00241945,40.77717804,37.26924561,50.6703559,52.84325822,50.65273271,50.25242116
Mauritania,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,7.229406538,9.798525355,12.50582676,19.2268919,23.28312975,24.66935889,43.76849751,52.39100036,64.89028131,58.21306699,60.65194321,65.58372289,80.35914723,85.79917155,95.96430155,112.7701926,116.0674166,118.1147346,110.9374507,107.5675853,107.9436995,96.39629756,85.09812119,104.8232532,104.1675248,101.6876903,101.7390588,100.2428232,101.0926973,no data,55.52735304,63.46475621,59.45208944,22.93567333,22.01485421,71.05862758,38.00347508,61.49962075,57.23625407,54.34394022,43.9473835,38.83879455,39.31748378,40.73399852,49.54239557,59.88831394,57.55426213,55.66406955,59.18181629,57.68714157,56.48937114,54.45041963,50.45655289,48.19773692
